ID,Form,"Country (Form)","Organization (Form)",Participant,Age,Gender,Address,"Well-Functioning Government","Low Levels of Corruption","Equitable Distribution of Resources","Good Relations with Neighbours","Free Flow of Information","High Levels of Human Capital","Sound Business Environment","Acceptance of the Rights of Others","Positive Peace","Negative Peace","Extra Question 1","Extra Question 2","Extra Question 3","Survey Date"
1292,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,5,5,5,5,2,5,2,5,5,,,,"04 Jun, 2025"
1291,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,2,2,6,5,5,,,,,,,,"04 Jun, 2025"
1288,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,,,,,,,,,,,,,,"04 Jun, 2025"
1286,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,3,3,3,4,6,4,4,5,5,,,,"04 Jun, 2025"
1280,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,3,2,4,3,6,6,1,2,3,,,,"03 Jun, 2025"
1279,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,,,,,,,,,,,,,"03 Jun, 2025"
1278,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,2,3,1,1,2,1,4,1,5,3,,,,"03 Jun, 2025"
1277,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,3,4,4,6,3,6,2,2,1,,,,"03 Jun, 2025"
1276,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,1,6,6,6,,,,,"03 Jun, 2025"
1275,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,2,1,6,3,4,6,,,,,,,"03 Jun, 2025"
1274,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,3,3,4,6,1,6,1,6,6,,,,"03 Jun, 2025"
1273,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,4,4,5,5,4,6,4,3,5,,,,"03 Jun, 2025"
1090,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,6,6,6,6,6,6,6,6,6,,,,"03 Jun, 2025"
1091,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,3,5,6,6,6,6,3,5,6,,,,"03 Jun, 2025"
1092,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,5,6,6,6,6,,,,,,,,"03 Jun, 2025"
1093,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,2,4,3,3,1,3,1,,,,,"03 Jun, 2025"
1094,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,1,3,6,6,6,6,1,,,,,,"03 Jun, 2025"
1095,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,5,4,5,5,4,5,1,4,6,,,,"03 Jun, 2025"
1096,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,4,5,6,5,5,3,6,,,,,,"03 Jun, 2025"
1097,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,6,6,6,6,6,1,1,6,6,,,,"03 Jun, 2025"
1098,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,3,3,3,5,3,3,3,5,,,,,"03 Jun, 2025"
1099,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,5,5,5,6,5,6,5,2,6,6,,,,"03 Jun, 2025"
1100,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,1,6,6,6,6,6,1,1,1,,,,"03 Jun, 2025"
1101,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,5,4,4,4,1,5,3,5,,,,,"03 Jun, 2025"
1102,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,6,5,4,6,5,5,4,5,6,,,,"03 Jun, 2025"
1103,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,6,6,6,6,1,6,1,6,1,,,,"03 Jun, 2025"
1104,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,1,1,1,1,,,,,,"03 Jun, 2025"
1105,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,1,3,3,5,6,6,1,5,,,,,"03 Jun, 2025"
1106,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,1,1,6,6,1,6,1,6,6,,,,"03 Jun, 2025"
1107,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,3,3,4,5,6,6,6,1,3,3,,,,"03 Jun, 2025"
1108,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,5,4,4,6,3,6,4,5,5,,,,"03 Jun, 2025"
1109,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,1,3,4,6,4,1,6,4,,,,"03 Jun, 2025"
1110,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,2,6,3,6,6,,,,,,"03 Jun, 2025"
1111,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,6,6,5,5,3,6,1,4,5,,,,"03 Jun, 2025"
1112,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,2,4,3,2,6,5,2,6,6,,,,"03 Jun, 2025"
1113,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,2,2,1,5,5,3,4,1,2,4,,,,"03 Jun, 2025"
1114,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,3,6,6,4,3,4,4,6,3,,,,"03 Jun, 2025"
1115,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,4,6,6,6,1,6,1,6,1,,,,"03 Jun, 2025"
1116,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,2,3,3,6,3,5,3,4,2,,,,,"03 Jun, 2025"
1117,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,2,4,6,6,5,6,5,5,5,,,,"03 Jun, 2025"
1118,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,4,4,4,6,1,6,4,5,6,,,,"03 Jun, 2025"
